word1,word2,pos,sv_score,relation,cf_score,include
push,shun,V,2.49,NONE,0.975311966,1
help,criticize,V,0.66,NONE,0.950019299,1
meet,swap,V,1.83,NONE,1.008384989,1
please,beg,V,1.16,NONE,0.609742655,1
renounce,defeat,V,3.32,HYPER/HYPONYMS,0.835191217,1
participate,engage,V,6.47,NONE,0.253696307,1
snap,break,V,7.7,HYPER/HYPONYMS,0.829362147,1
boom,explode,V,8.63,NONE,0.663822735,1
get,replace,V,4.15,NONE,1.08686755,1
toss,turn,V,4.23,HYPER/HYPONYMS,0.832807083,1
laugh,embarrass,V,2.32,NONE,0.791380386,1
save,rescue,V,9.79,HYPER/HYPONYMS,0.106854207,1
upset,hurt,V,6.31,HYPER/HYPONYMS,0.657186214,1
appear,vanish,V,1.83,ANTONYMS,1.074863537,1
smell,offend,V,0.66,NONE,0.855352643,1
help,lend,V,5.98,NONE,0.682793404,1
move,avoid,V,3.65,NONE,0.886689395,1
talk,communicate,V,7.47,HYPER/HYPONYMS,0.668419108,1
disturb,irritate,V,7.14,NONE,0.197674674,1
diminish,disappear,V,6.31,HYPER/HYPONYMS,0.650696691,1
betray,lie,V,7.97,NONE,0.652126217,1
slurp,suck,V,5.81,NONE,0.554571728,1
stop,go,V,1.16,HYPER/HYPONYMS,1.016460313,1
look,glance,V,8.8,HYPER/HYPONYMS,0.193787189,1
hit,abuse,V,7.14,NONE,0.746450996,1
destroy,construct,V,0.5,NONE,0.803472118,1
reject,hurt,V,4.32,NONE,0.837893587,1
hike,walk,V,7.3,HYPER/HYPONYMS,0.669293831,1
show,express,V,6.64,SYNONYMS,0.685905033,1
humiliate,embarrass,V,8.8,NONE,0.145378329,1
choke,cough,V,3.32,NONE,0.854476874,1
tickle,tease,V,3.15,NONE,0.612788389,1
compute,analyze,V,7.14,NONE,0.76592152,1
ride,drive,V,4.98,SYNONYMS,0.40650782,1
greet,salute,V,6.64,HYPER/HYPONYMS,0.031388439,1
prosecute,judge,V,5.64,NONE,0.490113731,1
perform,dance,V,6.31,NONE,0.829550352,1
invent,create,V,7.8,HYPER/HYPONYMS,0.585765908,1
squeak,crack,V,2.16,NONE,0.771936936,1
avoid,deny,V,2.82,NONE,0.624438938,1
divide,unite,V,0.17,ANTONYMS,1.050896425,1
spank,scold,V,3.15,NONE,0.633298172,1
call,collect,V,1.81,NONE,0.824370952,1
sip,gulp,V,2.99,COHYPONYMS,0.712916611,1
crave,need,V,7.3,NONE,0.704627079,1
cover,bury,V,6.97,COHYPONYMS,0.858758716,1
hurt,offend,V,6.81,SYNONYMS,0.679453843,1
win,compete,V,3.98,NONE,0.720585013,1
hit,beat,V,7.97,COHYPONYMS,0.431956345,1
change,spare,V,1.83,NONE,0.895074614,1
tickle,giggle,V,3.32,NONE,0.607654737,1
bother,affect,V,5.98,HYPER/HYPONYMS,0.553236176,1
haul,pull,V,8.13,HYPER/HYPONYMS,0.800113831,1
go,start,V,8.3,SYNONYMS,0.864822228,1
disprove,prove,V,1.83,HYPER/HYPONYMS,1.041285248,1
draw,attract,V,3.32,HYPER/HYPONYMS,0.160491163,1
sit,rise,V,0.3,ANTONYMS,0.986316472,1
protect,watch,V,4.98,NONE,0.855107904,1
achieve,accomplish,V,8.47,SYNONYMS,0.129683017,1
taste,acquire,V,2.82,NONE,0.896040881,1
read,write,V,1.81,NONE,0.794387088,1
shake,dance,V,5.15,COHYPONYMS,0.848456684,1
degrade,embarrass,V,5.81,NONE,0.388270985,1
attempt,try,V,8.63,SYNONYMS,0.023585354,1
pray,bless,V,4.15,NONE,0.560453873,1
polish,tarnish,V,2.32,NONE,0.869954506,1
mimic,tease,V,5.81,NONE,0.90049929,1
save,drown,V,1.33,NONE,0.834942531,1
grind,smash,V,4.65,NONE,0.513014816,1
need,depend,V,5.81,NONE,0.790366701,1
yearn,learn,V,0.83,NONE,0.777015898,1
defend,help,V,5.64,NONE,0.712772655,1
bake,fry,V,4.81,COHYPONYMS,0.68020751,1
snuggle,hug,V,6.97,NONE,0.217432432,1
compute,understand,V,7.14,NONE,0.859599762,1
tear,wear,V,1.49,NONE,0.845734142,1
plead,please,V,1.66,NONE,0.709854418,1
neglect,leave,V,5.98,NONE,0.808217929,1
unload,dump,V,7.64,NONE,0.483103013,1
watch,see,V,8.13,HYPER/HYPONYMS,0.475549938,1
slay,kill,V,9.46,HYPER/HYPONYMS,0.310807794,1
originate,begin,V,7.64,HYPER/HYPONYMS,0.771217511,1
avoid,hide,V,5.81,NONE,0.750865311,1
show,perform,V,6.14,NONE,0.851329634,1
prosper,grow,V,7.14,NONE,0.233030353,1
become,arrive,V,1.33,NONE,0.590222477,1
transplant,exchange,V,5.98,NONE,0.903833799,1
strike,hit,V,8.96,SYNONYMS,0.097486961,1
talk,argue,V,3.82,HYPER/HYPONYMS,0.556099071,1
kill,poach,V,3.32,NONE,0.881108794,1
tell,squeal,V,4.81,NONE,0.955119038,1
please,request,V,1.83,NONE,0.301619183,1
lose,subtract,V,2.66,NONE,0.878527625,1
admit,tell,V,4.98,NONE,0.717783608,1
go,stay,V,0,ANTONYMS,0.749138138,1
concentrate,think,V,7.97,HYPER/HYPONYMS,0.821866425,1
save,help,V,8.3,NONE,0.773785665,1
disintegrate,decay,V,7.3,SYNONYMS,0.473076885,1
delay,stop,V,4.15,NONE,0.79999596,1
add,multiply,V,3.15,COHYPONYMS,0.776470801,1
give,return,V,3.32,HYPER/HYPONYMS,0.890803576,1
slide,fall,V,3.82,NONE,0.650806731,1
blow,whistle,V,2.82,COHYPONYMS,0.745558944,1
portray,show,V,8.63,NONE,0.504364526,1
attend,appear,V,4.15,NONE,0.869426445,1
insult,criticize,V,7.14,NONE,0.645475876,1
allow,deny,V,0.17,ANTONYMS,1.029343535,1
practice,repeat,V,7.47,NONE,0.894952411,1
find,determine,V,5.48,SYNONYMS,0.551763254,1
rip,tear,V,9.96,HYPER/HYPONYMS,0.022756118,1
nag,annoy,V,6.31,NONE,0.654694293,1
hit,connect,V,3.82,HYPER/HYPONYMS,0.945959147,1
yell,scream,V,8,SYNONYMS,0.078311424,1
hoot,holler,V,6.81,NONE,0.695537046,1
mend,break,V,1,ANTONYMS,1.028217968,1
organize,gather,V,4.81,NONE,0.745123003,1
suggest,advise,V,8.63,SYNONYMS,0.680815497,1
overwhelm,confuse,V,5.31,NONE,0.646792764,1
ask,please,V,1.66,NONE,0.283618721,1
change,affect,V,6.97,HYPER/HYPONYMS,0.80030619,1
amuse,entertain,V,8.13,HYPER/HYPONYMS,0.018564466,1
haul,take,V,4.32,NONE,0.754446326,1
suppose,imagine,V,6.31,SYNONYMS,0.097257079,1
follow,come,V,4.15,SYNONYMS,0.93494259,1
spend,save,V,1,HYPER/HYPONYMS,0.767771251,1
tap,touch,V,7.64,HYPER/HYPONYMS,0.847498824,1
fling,shoot,V,4.81,NONE,0.934394122,1
meet,introduce,V,2.82,NONE,0.75685257,1
rationalize,justify,V,8.8,SYNONYMS,0.669513949,1
update,review,V,4.32,NONE,0.743955016,1
sew,weave,V,5.15,NONE,0.523455407,1
shrink,grow,V,1,NONE,1.022375239,1
fail,try,V,1.49,NONE,0.774047089,1
destroy,smash,V,6.79,HYPER/HYPONYMS,0.514419828,1
steal,sneak,V,6.14,HYPER/HYPONYMS,0.7899775,1
retreat,go,V,3.49,HYPER/HYPONYMS,0.768372556,1
run,rush,V,6.81,HYPER/HYPONYMS,0.842375839,1
lean,stand,V,3.98,COHYPONYMS,0.894847926,1
return,take,V,1.49,HYPER/HYPONYMS,0.933312873,1
rejoice,celebrate,V,8.3,NONE,0.639887868,1
choke,die,V,4.65,SYNONYMS,0.862189936,1
hate,shun,V,5.64,NONE,0.821897715,1
disown,renounce,V,7.64,SYNONYMS,0.501946158,1
reject,refuse,V,7.97,HYPER/HYPONYMS,0.114377244,1
teach,show,V,5.81,NONE,0.895658762,1
fight,disagree,V,5.98,NONE,0.74327674,1
debate,decide,V,4.65,NONE,0.839211678,1
follow,chase,V,7.14,HYPER/HYPONYMS,0.76835574,1
reject,disown,V,6.47,HYPER/HYPONYMS,0.434247433,1
desire,yearn,V,7.47,HYPER/HYPONYMS,0.310316015,1
die,smother,V,2.66,NONE,0.879847526,1
unite,combine,V,8.3,SYNONYMS,0.278418451,1
tell,notify,V,7.64,NONE,0.437500902,1
defrost,freeze,V,1.99,NONE,0.633759869,1
triumph,succeed,V,9.79,NONE,0.601624967,1
say,announce,V,8.3,HYPER/HYPONYMS,0.463877373,1
destroy,explode,V,4.15,HYPER/HYPONYMS,0.769352951,1
enjoy,participate,V,2.32,NONE,0.733912282,1
knit,crochet,V,4.98,HYPER/HYPONYMS,0.170495131,1
laugh,tickle,V,3.98,NONE,0.69231655,1
tell,convince,V,4.48,NONE,0.785080487,1
achieve,finish,V,5.48,NONE,0.66382308,1
scratch,rub,V,3.98,SYNONYMS,0.681906261,1
stamp,lick,V,0.17,NONE,0.942244058,1
hurt,ache,V,5.64,SYNONYMS,0.71423027,1
wrap,cover,V,8.47,HYPER/HYPONYMS,0.5465462,1
help,hurt,V,0,NONE,0.852940396,1
think,reflect,V,8.13,HYPER/HYPONYMS,0.653836349,1
follow,lead,V,0.17,ANTONYMS,1.056856983,1
run,operate,V,6.31,SYNONYMS,0.443886659,1
ignore,hurt,V,2.66,NONE,0.911055541,1
deny,prohibit,V,8.63,NONE,0.696968112,1
realize,set,V,1.16,NONE,0.961331424,1
exchange,swap,V,9.63,HYPER/HYPONYMS,0.271246214,1
assume,judge,V,5.81,HYPER/HYPONYMS,0.937524714,1
compound,mix,V,5.81,HYPER/HYPONYMS,0.743299165,1
destroy,crush,V,6.97,NONE,0.390660268,1
bleach,wash,V,3.98,NONE,0.339616068,1
accuse,defend,V,0.66,NONE,0.896195406,1
fade,vanish,V,6.97,HYPER/HYPONYMS,0.09865991,1
demand,command,V,6.14,HYPER/HYPONYMS,0.862893643,1
decline,descend,V,5.64,HYPER/HYPONYMS,0.852899361,1
spell,hypnotize,V,3.65,NONE,0.747311219,1
enter,admit,V,5.31,NONE,0.849014572,1
poach,boil,V,4.65,NONE,0.522663124,1
overcome,dominate,V,4.81,NONE,0.571126844,1
assume,suppose,V,9.13,HYPER/HYPONYMS,0.198754617,1
deliver,give,V,6.97,HYPER/HYPONYMS,0.345903739,1
prove,show,V,6.31,SYNONYMS,0.329310543,1
detach,attach,V,0.33,ANTONYMS,1.021778687,1
blow,hit,V,3.15,COHYPONYMS,0.470757679,1
detach,separate,V,8.13,HYPER/HYPONYMS,0.227617026,1
assist,aid,V,9.63,SYNONYMS,0.080752082,1
chew,bite,V,6.97,NONE,0.754843875,1
float,swim,V,4.65,COHYPONYMS,0.864305944,1
squeal,laugh,V,5.64,NONE,0.831154291,1
need,urge,V,4.65,NONE,0.656162335,1
spill,pour,V,4.65,COHYPONYMS,0.845499239,1
acquire,accumulate,V,8.47,NONE,0.589782413,1
retreat,run,V,5.64,COHYPONYMS,1.000617071,1
hurt,fall,V,2.32,NONE,0.846967655,1
respond,remark,V,5.15,NONE,0.782395426,1
correct,fix,V,8.3,NONE,0.327803579,1
remain,stay,V,9.13,SYNONYMS,0.115293244,1
blame,hate,V,3.15,NONE,0.808898746,1
flip,flap,V,1.99,NONE,0.818305008,1
glide,flow,V,4.15,NONE,0.876772654,1
drink,quench,V,6.34,NONE,0.848910436,1
have,retain,V,6.47,HYPER/HYPONYMS,0.738961804,1
scratch,hurt,V,4.32,NONE,0.8172779,1
go,leave,V,8.45,HYPER/HYPONYMS,0.518313341,1
begin,stop,V,0.33,ANTONYMS,1.159934034,1
scribble,write,V,6.97,HYPER/HYPONYMS,0.638649605,1
think,feel,V,3.32,HYPER/HYPONYMS,0.218076756,1
swim,dip,V,3.15,ANTONYMS,0.826796926,1
ascend,descend,V,1.06,ANTONYMS,1.200303255,1
erode,deteriorate,V,7.47,COHYPONYMS,0.573151165,1
evict,leave,V,4.32,NONE,0.737488497,1
flush,blush,V,5.31,SYNONYMS,0.449490698,1
rearrange,organize,V,8.13,COHYPONYMS,0.749524907,1
smell,sweat,V,4.32,NONE,0.740472075,1
dance,entertain,V,2.99,NONE,0.810975434,1
stumble,fall,V,7.47,NONE,0.781384822,1
demand,reprimand,V,2.82,NONE,0.830049522,1
humiliate,insult,V,5.98,NONE,0.44887045,1
crunch,bite,V,6.64,NONE,0.804690294,1
tell,announce,V,7.97,HYPER/HYPONYMS,0.351447692,1
smash,break,V,9.46,HYPER/HYPONYMS,0.332010933,1
stop,adjourn,V,7.97,HYPER/HYPONYMS,0.49728895,1
wash,soak,V,5.15,NONE,0.593387673,1
run,skip,V,4.15,NONE,0.830072686,1
reflect,shine,V,6.14,SYNONYMS,0.778019497,1
excuse,interrupt,V,0.66,NONE,0.777297193,1
speak,tell,V,6.81,NONE,0.271625287,1
complain,disagree,V,3.82,NONE,0.641291557,1
punch,fight,V,6.14,NONE,0.814835697,1
marry,wed,V,8.47,SYNONYMS,0.377587619,1
entertain,show,V,5.15,NONE,0.818798168,1
push,fight,V,4.98,HYPER/HYPONYMS,0.98018788,1
learn,read,V,2.32,SYNONYMS,0.865150709,1
shun,reject,V,7.97,NONE,0.773274379,1
decline,reject,V,9.13,SYNONYMS,0.746778017,1
explain,describe,V,8.13,HYPER/HYPONYMS,0.322310593,1
deny,admit,V,0.33,ANTONYMS,1.072312559,1
leave,excuse,V,4.38,NONE,0.81224113,1
dismiss,excuse,V,5.48,NONE,0.847899233,1
think,ponder,V,8.8,HYPER/HYPONYMS,0.45326109,1
hit,pinch,V,2.99,NONE,0.878298185,1
frighten,scare,V,8.96,NONE,0.032649304,1
whistle,hum,V,4.98,COHYPONYMS,0.664314421,1
play,perform,V,5.98,HYPER/HYPONYMS,0.581681787,1
leave,take,V,1.16,ANTONYMS,0.823385177,1
sell,barter,V,5.31,COHYPONYMS,0.745692901,1
wreck,drive,V,0.91,NONE,0.955893623,1
get,acquire,V,9.66,SYNONYMS,0.281290489,1
arrest,prosecute,V,3.49,NONE,0.724835691,1
snooze,doze,V,8.63,SYNONYMS,0.322960626,1
condemn,accuse,V,6.14,NONE,0.525082956,1
help,cry,V,0.66,NONE,1.015206731,1
conquer,dominate,V,6.64,NONE,0.489222383,1
receive,acquire,V,7.14,HYPER/HYPONYMS,0.425853292,1
unite,marry,V,5.98,HYPER/HYPONYMS,0.859616943,1
retreat,advance,V,0.33,ANTONYMS,1.017056281,1
catch,chase,V,3.49,NONE,0.688159623,1
jerk,pull,V,5.48,HYPER/HYPONYMS,0.92308641,1
assault,hurt,V,6.81,NONE,0.719930588,1
travel,roam,V,4.83,HYPER/HYPONYMS,0.728610918,1
attack,fight,V,6.97,HYPER/HYPONYMS,0.782013793,1
hitch,attach,V,3.82,HYPER/HYPONYMS,0.733263928,1
bother,interrupt,V,6.14,NONE,0.307625476,1
receive,deliver,V,1.49,NONE,0.596453538,1
capture,take,V,7.47,HYPER/HYPONYMS,0.600330788,1
move,leave,V,4.81,HYPER/HYPONYMS,0.724186451,1
achieve,try,V,4.15,NONE,0.698097333,1
retreat,charge,V,2.82,NONE,0.972802738,1
fasten,hold,V,4.32,NONE,0.732397963,1
rationalize,understand,V,5.98,NONE,0.875071429,1
restore,fix,V,7.8,SYNONYMS,0.758541568,1
come,leave,V,1,ANTONYMS,1.153625932,1
aggravate,frustrate,V,7.47,NONE,0.756942194,1
spank,hurt,V,4.15,NONE,0.848908476,1
smell,taste,V,2.49,COHYPONYMS,0.47774987,1
lower,raise,V,0,ANTONYMS,1.041601941,1
sink,dip,V,6.14,SYNONYMS,0.69531932,1
hate,ignore,V,1.49,NONE,0.750288587,1
strain,lift,V,1.83,NONE,0.960619983,1
console,comfort,V,8.3,SYNONYMS,0.935007185,1
play,lead,V,2.32,NONE,0.829966875,1
talk,console,V,2.99,NONE,0.961536316,1
tease,bother,V,4.98,HYPER/HYPONYMS,0.698174962,1
deny,lie,V,4.15,NONE,0.946446477,1
excel,advance,V,5.81,NONE,0.909093987,1
annoy,irritate,V,9.3,SYNONYMS,0.009377242,1
retreat,attack,V,0.83,NONE,0.891764384,1
drink,pop,V,0.5,HYPER/HYPONYMS,0.900104596,1
spank,hit,V,8.3,NONE,0.695435483,1
shatter,break,V,7.3,HYPER/HYPONYMS,0.237517204,1
lower,reduce,V,9.13,NONE,0.163131351,1
reappear,fix,V,1,NONE,0.844778216,1
sneak,hide,V,5.64,NONE,0.645769263,1
breathe,smother,V,0.66,NONE,0.702110379,1
adjourn,leave,V,4.81,NONE,0.75408782,1
persuade,urge,V,6.81,NONE,0.702853082,1
accumulate,gain,V,9.13,COHYPONYMS,0.640334386,1
wiggle,move,V,7.14,HYPER/HYPONYMS,0.25212061,1
renounce,deny,V,5.81,HYPER/HYPONYMS,0.657259991,1
miss,hit,V,0.17,ANTONYMS,1.052201014,1
vary,differ,V,8.63,HYPER/HYPONYMS,0.072704226,1
move,change,V,4.15,HYPER/HYPONYMS,0.48151887,1
tow,move,V,4.48,HYPER/HYPONYMS,0.860112306,1
tell,describe,V,7.64,NONE,0.666819359,1
punish,hit,V,4.48,NONE,0.830764794,1
talk,listen,V,1.16,NONE,0.594991981,1
urge,beg,V,4.98,NONE,0.617896075,1
grab,clench,V,6.47,COHYPONYMS,0.781456102,1
heal,help,V,5.31,HYPER/HYPONYMS,0.841105669,1
let,permit,V,8.13,SYNONYMS,0.233984622,1
search,look,V,9.63,SYNONYMS,0.605625185,1
lie,promise,V,0.33,COHYPONYMS,0.960324989,1
set,swing,V,1.66,HYPER/HYPONYMS,0.927562666,1
jog,run,V,7.47,HYPER/HYPONYMS,0.895785716,1
stain,tarnish,V,6.79,SYNONYMS,0.647512314,1
talk,say,V,8.96,NONE,0.363217401,1
diminish,fade,V,7.8,HYPER/HYPONYMS,0.6094039,1
ignore,disregard,V,7.8,SYNONYMS,0.186489365,1
die,kill,V,0.83,NONE,0.291428088,1
spank,slap,V,7.64,NONE,0.432105875,1
sew,crochet,V,6.81,NONE,0.337308931,1
talk,associate,V,4.15,NONE,0.88856983,1
touch,kiss,V,3.49,HYPER/HYPONYMS,0.830990655,1
loosen,tie,V,0.33,ANTONYMS,0.896584424,1
lie,assume,V,1.49,NONE,0.88933779,1
gather,collect,V,9.63,SYNONYMS,0.107290691,1
punish,reprimand,V,7.97,NONE,0.646134656,1
have,want,V,1.83,NONE,0.609401606,1
tote,carry,V,7.3,HYPER/HYPONYMS,0.771504446,1
fly,soar,V,8.3,HYPER/HYPONYMS,0.867259014,1
reduce,save,V,4.15,NONE,0.797770473,1
stop,stay,V,6.47,HYPER/HYPONYMS,0.85881646,1
spank,cry,V,1.16,NONE,0.872022741,1
obey,follow,V,7.97,HYPER/HYPONYMS,0.31804893,1
lose,control,V,0.17,NONE,0.989123734,1
glide,hang,V,1.66,NONE,0.803533075,1
grab,take,V,5.98,HYPER/HYPONYMS,0.380699977,1
hop,jump,V,6.81,HYPER/HYPONYMS,0.149046775,1
argue,disagree,V,6.64,NONE,0.711475661,1
slide,move,V,4.48,HYPER/HYPONYMS,0.799645225,1
incline,tend,V,5.15,SYNONYMS,0.611489592,1
stop,hesitate,V,5.15,NONE,0.919235754,1
toss,fling,V,8.13,HYPER/HYPONYMS,0.769632536,1
kneel,beg,V,4.81,NONE,0.709957101,1
stare,look,V,7.47,HYPER/HYPONYMS,0.271742559,1
disintegrate,perish,V,7.97,NONE,0.582229625,1
dislike,shun,V,5.81,NONE,0.857695205,1
deposit,return,V,0.6,NONE,0.988562417,1
walk,crawl,V,2.32,COHYPONYMS,0.781338655,1
renounce,reject,V,7.47,HYPER/HYPONYMS,0.600726665,1
snore,snooze,V,4.15,NONE,0.509210893,1
look,see,V,7.97,HYPER/HYPONYMS,0.230779623,1
assault,aggravate,V,3.65,NONE,0.84284387,1
obtain,have,V,7.8,NONE,0.506304523,1
beware,watch,V,4.81,HYPER/HYPONYMS,0.548149834,1
talk,rap,V,4.32,HYPER/HYPONYMS,0.848626719,1
tell,lie,V,2.16,NONE,0.867075198,1
cover,spread,V,4.98,HYPER/HYPONYMS,0.867610716,1
descend,leave,V,2.66,NONE,0.808033977,1
take,snatch,V,7.8,HYPER/HYPONYMS,0.878144402,1
call,bluff,V,2.66,NONE,0.931564989,1
cover,hide,V,6.47,HYPER/HYPONYMS,0.840273923,1
pick,elect,V,7.47,COHYPONYMS,0.175532243,1
smear,rub,V,5.98,HYPER/HYPONYMS,0.788087412,1
keep,save,V,8.47,HYPER/HYPONYMS,0.652222682,1
decrease,increase,V,0.17,ANTONYMS,1.050761874,1
disprove,disagree,V,5.98,NONE,0.71665988,1
sow,sew,V,1.66,NONE,0.853480678,1
claim,sue,V,2.82,NONE,0.65965161,1
allow,go,V,2.66,NONE,0.752156076,1
triumph,win,V,9.79,HYPER/HYPONYMS,0.160739626,1
forget,leave,V,3.15,SYNONYMS,0.773445348,1
sit,lounge,V,6.47,HYPER/HYPONYMS,0.767205415,1
disappear,dissolve,V,6.47,NONE,0.656340211,1
defend,stand,V,1.66,HYPER/HYPONYMS,0.774530655,1
overcome,conquer,V,7.8,HYPER/HYPONYMS,0.330095435,1
deliver,bring,V,6.14,HYPER/HYPONYMS,0.276074321,1
kneel,sit,V,2.82,NONE,0.765322642,1
hurt,limp,V,2.99,NONE,0.836639498,1
disprove,reject,V,6.31,NONE,0.336137364,1
yell,holler,V,9.13,SYNONYMS,0.070017132,1
make,design,V,4.81,HYPER/HYPONYMS,0.6789775,1
like,want,V,3.82,HYPER/HYPONYMS,0.575965413,1
acquire,gain,V,8.8,HYPER/HYPONYMS,0.260722306,1
regret,dislike,V,3.15,NONE,0.610069536,1
accept,understand,V,7.3,HYPER/HYPONYMS,0.526815623,1
wiggle,giggle,V,0.83,NONE,0.864508452,1
hop,skip,V,5.81,SYNONYMS,0.297624639,1
push,pull,V,0.83,ANTONYMS,1.031301739,1
veer,turn,V,5.43,HYPER/HYPONYMS,0.882494236,1
assume,know,V,2.49,NONE,0.633831156,1
hurt,condemn,V,2.32,NONE,0.795598758,1
defrost,thaw,V,8.47,HYPER/HYPONYMS,0.26578311,1
scream,roar,V,7.14,HYPER/HYPONYMS,0.553430611,1
convince,talk,V,4.32,NONE,0.789152345,1
retreat,leave,V,8.47,NONE,0.739625512,1
annoy,confuse,V,2.49,NONE,0.624881914,1
reject,ignore,V,7.3,HYPER/HYPONYMS,0.732113156,1
destroy,diminish,V,5.64,NONE,0.677888792,1
haul,lift,V,6.14,NONE,0.917361098,1
wait,hesitate,V,6.14,HYPER/HYPONYMS,0.835235951,1
give,sell,V,2.32,HYPER/HYPONYMS,0.922110467,1
rise,lower,V,0.33,NONE,1.026740542,1
hurt,cry,V,2.49,NONE,0.984569604,1
multiply,increase,V,7.3,HYPER/HYPONYMS,0.33392716,1
stop,flow,V,0.17,NONE,0.905170965,1
prosecute,try,V,4.48,COHYPONYMS,0.377944578,1
justify,clarify,V,4.32,NONE,0.74416721,1
acknowledge,greet,V,5.64,NONE,0.616991766,1
scold,yell,V,6.47,NONE,0.522922944,1
shuffle,travel,V,1.66,HYPER/HYPONYMS,0.998616959,1
lose,fail,V,7.14,NONE,0.616361339,1
speak,renounce,V,3.98,NONE,0.966224898,1
come,go,V,1.83,HYPER/HYPONYMS,1.069833488,1
yell,criticize,V,1.83,NONE,0.837591748,1
bake,make,V,6.19,HYPER/HYPONYMS,0.904214936,1
originate,start,V,8.45,SYNONYMS,0.722746762,1
attack,tackle,V,5.15,HYPER/HYPONYMS,0.802381482,1
use,operate,V,8.47,NONE,0.373028365,1
run,flow,V,2.66,SYNONYMS,0.915731302,1
collect,acquire,V,6.97,HYPER/HYPONYMS,0.606539368,1
move,turn,V,4.81,HYPER/HYPONYMS,0.630036889,1
enter,leave,V,1.16,ANTONYMS,1.012735355,1
engage,marry,V,4.48,NONE,0.919011263,1
grab,reach,V,7.14,COHYPONYMS,0.766568071,1
agree,disagree,V,0.66,ANTONYMS,1.060528269,1
replace,fill,V,3.15,NONE,0.851277376,1
hurt,whip,V,3.98,NONE,0.901195943,1
whip,punish,V,5.81,NONE,0.749029162,1
yell,roar,V,7.47,HYPER/HYPONYMS,0.571692315,1
hurt,feel,V,5.15,COHYPONYMS,0.89217121,1
fall,bounce,V,1.66,COHYPONYMS,0.786001845,1
choose,pick,V,9.63,HYPER/HYPONYMS,0.099593867,1
sew,knit,V,5.98,NONE,0.412237696,1
perish,leave,V,1.33,NONE,0.858444246,1
ponder,toil,V,3.15,NONE,0.897226113,1
wipe,spill,V,1,NONE,0.790524023,1
affect,respond,V,1.66,NONE,0.993127737,1
deliver,send,V,6.14,NONE,0.62145506,1
fix,mend,V,9.3,SYNONYMS,0.104496867,1
evaluate,examine,V,7.8,HYPER/HYPONYMS,0.552150775,1
become,grow,V,5.15,HYPER/HYPONYMS,0.836648949,1
learn,know,V,5.64,NONE,0.455581334,1
glare,reflect,V,3.49,HYPER/HYPONYMS,0.611450763,1
cook,boil,V,5.98,COHYPONYMS,0.482366838,1
lead,direct,V,6.97,SYNONYMS,0.637296044,1
talk,reply,V,5.31,NONE,0.780196344,1
inspect,search,V,6.31,COHYPONYMS,0.431654317,1
respond,talk,V,4.98,NONE,0.786283733,1
argue,differ,V,6.14,NONE,0.844757383,1
betray,cheat,V,7.3,SYNONYMS,0.3582777,1
decrease,decline,V,6.64,HYPER/HYPONYMS,0.060951294,1
increase,reduce,V,1.33,NONE,1.030404906,1
blur,smear,V,7.47,SYNONYMS,0.604510254,1
irritate,frustrate,V,7.8,HYPER/HYPONYMS,0.547164044,1
sell,hustle,V,3.65,COHYPONYMS,0.836082232,1
release,unload,V,7.14,NONE,0.69949046,1
want,demand,V,4.48,HYPER/HYPONYMS,0.711739755,1
swear,damn,V,6.14,NONE,0.78206417,1
squint,glare,V,3.82,NONE,0.612328809,1
yell,hoot,V,3.49,NONE,0.741174749,1
result,finish,V,6.64,NONE,0.731217354,1
kick,hurt,V,3.98,NONE,0.806808587,1
incline,decline,V,0.33,NONE,0.765393971,1
leave,ascend,V,0.66,COHYPONYMS,0.950068634,1
be,become,V,5.81,NONE,0.315778713,1
hypnotize,control,V,5.48,NONE,1.01857519,1
leave,return,V,0.15,NONE,0.841797047,1
despair,upset,V,3.65,NONE,0.622279963,1
determine,guess,V,1.99,NONE,0.777183619,1
beg,ask,V,4.48,COHYPONYMS,0.633492726,1
kneel,bend,V,4.81,NONE,0.815535166,1
pelt,hit,V,6.81,NONE,0.852398399,1
lie,admit,V,3.32,NONE,0.904334099,1
pinch,punch,V,2.99,NONE,0.748468635,1
hit,pat,V,3.98,NONE,0.848175181,1
prosecute,charge,V,6.31,NONE,0.513413903,1
convince,explain,V,5.31,NONE,0.757851133,1
retain,keep,V,9.46,HYPER/HYPONYMS,0.1459651,1
magnify,look,V,5.81,NONE,0.845601939,1
join,unite,V,9.3,HYPER/HYPONYMS,0.31718046,1
differ,disagree,V,8.3,SYNONYMS,0.280532128,1
lie,disbelieve,V,1.49,NONE,0.928245217,1
annoy,mimic,V,1.33,NONE,0.805868158,1
retain,hold,V,8.13,HYPER/HYPONYMS,0.34098499,1
exist,live,V,8.3,SYNONYMS,0.70497816,1
keep,find,V,3.49,NONE,0.961908361,1
receive,take,V,5.98,HYPER/HYPONYMS,0.660095526,1
know,think,V,2.57,HYPER/HYPONYMS,0.527426389,1
send,get,V,1.83,NONE,0.860167201,1
recommend,suggest,V,8.47,HYPER/HYPONYMS,0.435659907,1
beat,whip,V,5.81,HYPER/HYPONYMS,0.737073586,1
pelt,throw,V,5.98,HYPER/HYPONYMS,0.795917936,1
win,lose,V,1.66,ANTONYMS,1.066339003,1
hit,punch,V,7.64,HYPER/HYPONYMS,0.50005354,1
appear,reappear,V,4.65,HYPER/HYPONYMS,0.843792476,1
like,adore,V,5.15,NONE,0.236425533,1
